listing_url,picture_url,host_id,host_url,host_name,host_picture_url,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,price,monthly_price,minimum_nights,availability_365
https://www.airbnb.com/rooms/9029345,https://a2.muscache.com/im/pictures/940648da-0cb7-4d56-af66-dc237969bb7e.jpg?aki_policy=large,30283594,https://www.airbnb.com/users/show/30283594,Kara,https://a2.muscache.com/im/users/30283594/profile_pic/1427748834/original.jpg?aki_policy=profile_x_medium,767,Financial District,Manhattan,40.70486123,-74.00951844,Apartment,189,6479,30,179
https://www.airbnb.com/rooms/11906826,https://a2.muscache.com/im/pictures/90ae5989-69e5-4953-b1b7-3aa8fea5f1a4.jpg?aki_policy=large,48618586,https://www.airbnb.com/users/show/48618586,Evolve Vacation Rental,https://a2.muscache.com/im/pictures/8ac04448-f2f0-4ca6-8880-3b5732c1170e.jpg?aki_policy=profile_x_medium,634,Sheepshead Bay,Brooklyn,40.5839959,-73.93514129,Condominium,211,,5,127
https://www.airbnb.com/rooms/10140088,https://a2.muscache.com/im/pictures/301b6078-3568-46b1-a3d2-f1622b4bcf62.jpg?aki_policy=large,50521917,https://www.airbnb.com/users/show/50521917,Evolve Vacation Rental,https://a2.muscache.com/im/pictures/0c5c43e2-8c99-482c-926a-b7172f35f69f.jpg?aki_policy=profile_x_medium,576,Bedford-Stuyvesant,Brooklyn,40.68081884,-73.92947264,Apartment,149,,2,132
https://www.airbnb.com/rooms/14669678,https://a2.muscache.com/im/pictures/ef95fc1d-2965-4148-a2a8-fe5bcaa8db9f.jpg?aki_policy=large,86748234,https://www.airbnb.com/users/show/86748234,Evolve Vacation Rental,https://a2.muscache.com/im/pictures/46a5d45b-d5bc-4e1d-ae09-782b235fdf07.jpg?aki_policy=profile_x_medium,413,East Flatbush,Brooklyn,40.63912059,-73.94863136,Apartment,97,,2,189
https://www.airbnb.com/rooms/6117496,https://a1.muscache.com/im/pictures/76231339/763c2d41_original.jpg?aki_policy=large,30787515,https://www.airbnb.com/users/show/30787515,Brooke,https://a2.muscache.com/im/users/30787515/profile_pic/1428436742/original.jpg?aki_policy=profile_x_medium,235,Midtown,Manhattan,40.763653,-73.98056953,Apartment,349,,2,179
https://www.airbnb.com/rooms/14944255,https://a2.muscache.com/im/pictures/71844fdd-ee8c-4241-bb2c-ab27a6ea6302.jpg?aki_policy=large,2856748,https://www.airbnb.com/users/show/2856748,Rachel,https://a2.muscache.com/im/users/2856748/profile_pic/1361696551/original.jpg?aki_policy=profile_x_medium,119,Financial District,Manhattan,40.70862398,-74.00542681,Apartment,300,,14,349
https://www.airbnb.com/rooms/6323824,https://a0.muscache.com/im/pictures/79038252/15ef5e23_original.jpg?aki_policy=large,14678347,https://www.airbnb.com/users/show/14678347,Avishay,https://a1.muscache.com/im/users/14678347/profile_pic/1400611274/original.jpg?aki_policy=profile_x_medium,83,West Village,Manhattan,40.73105364,-74.00797394,Apartment,340,,3,365
https://www.airbnb.com/rooms/9404068,https://a2.muscache.com/im/pictures/a3bd98d1-493b-4082-aaa9-25750469450d.jpg?aki_policy=large,16098958,https://www.airbnb.com/users/show/16098958,Jeremy & Kate,https://a2.muscache.com/im/pictures/5e196c9a-dedf-4e49-8f71-8f5c85ac96a8.jpg?aki_policy=profile_x_medium,77,Upper West Side,Manhattan,40.79284944,-73.96700473,Apartment,140,3500,30,312
https://www.airbnb.com/rooms/14756564,https://a2.muscache.com/im/pictures/70be6476-eadd-41b6-ae95-50b979d32f23.jpg?aki_policy=large,669759,https://www.airbnb.com/users/show/669759,Oasis,https://a2.muscache.com/im/pictures/df323f51-ba5f-411b-bec5-b6a1db069b38.jpg?aki_policy=profile_x_medium,72,Chelsea,Manhattan,40.74370184,-73.99484802,Apartment,699,,6,171
https://www.airbnb.com/rooms/13939309,https://a2.muscache.com/im/pictures/0c6d8e23-0a3e-4965-8207-bf3cd26542e9.jpg?aki_policy=large,19056065,https://www.airbnb.com/users/show/19056065,Tony,https://a1.muscache.com/im/users/19056065/profile_pic/1406688826/original.jpg?aki_policy=profile_x_medium,68,Midtown,Manhattan,40.75007527,-73.98377184,Condominium,350,,1,180
https://www.airbnb.com/rooms/13667355,https://a2.muscache.com/im/pictures/e9297fe2-8b92-41d9-9346-d4cf491651b0.jpg?aki_policy=large,79293779,https://www.airbnb.com/users/show/79293779,Kyle,https://a2.muscache.com/im/pictures/1dc84d2b-ce94-4653-85c0-e82ec1999ba9.jpg?aki_policy=profile_x_medium,62,Chelsea,Manhattan,40.75255811,-74.00200448,Apartment,440,,15,89
https://www.airbnb.com/rooms/10965574,https://a2.muscache.com/im/pictures/f65ff945-650e-4157-bf98-6c18d9dc09d9.jpg?aki_policy=large,3975009,https://www.airbnb.com/users/show/3975009,Elisabet,https://a2.muscache.com/im/pictures/1a496050-6c0f-47a5-a069-ee6c52bd456a.jpg?aki_policy=profile_x_medium,57,Midtown,Manhattan,40.76578244,-73.98051572,Condominium,355,,7,358
https://www.airbnb.com/rooms/15018646,https://a2.muscache.com/im/pictures/a255cfa0-fe17-45b0-ab3a-087a1a11bfc4.jpg?aki_policy=large,64065593,https://www.airbnb.com/users/show/64065593,ResortShare5,https://a2.muscache.com/im/pictures/17bd4f01-8622-41eb-a0b8-8459e8072c8a.jpg?aki_policy=profile_x_medium,55,Midtown,Manhattan,40.75233011,-73.97136575,Condominium,325,,2,75
https://www.airbnb.com/rooms/7591313,https://a2.muscache.com/im/pictures/880c5e23-84f9-44a6-8aeb-8f1da27daa97.jpg?aki_policy=large,29160552,https://www.airbnb.com/users/show/29160552,Nicolas,https://a1.muscache.com/im/users/29160552/profile_pic/1426091504/original.jpg?aki_policy=profile_x_medium,47,Midtown,Manhattan,40.74683222,-73.98752098,Apartment,190,,5,306
https://www.airbnb.com/rooms/5932878,https://a0.muscache.com/im/pictures/73883487/6d9b920a_original.jpg?aki_policy=large,5418015,https://www.airbnb.com/users/show/5418015,Julie,https://a2.muscache.com/im/users/5418015/profile_pic/1417646487/original.jpg?aki_policy=profile_x_medium,41,Nolita,Manhattan,40.7240712,-73.99554999,Apartment,194,4920,30,351
https://www.airbnb.com/rooms/12404679,https://a2.muscache.com/im/pictures/07851082-f1a1-4e04-a528-12ec6adeefcf.jpg?aki_policy=large,61532697,https://www.airbnb.com/users/show/61532697,Tania,https://a2.muscache.com/im/pictures/c4444f01-7e98-4916-a3ad-18227f2d0c1f.jpg?aki_policy=profile_x_medium,40,Midtown,Manhattan,40.75227624,-73.97337499,Condominium,299,,2,166
https://www.airbnb.com/rooms/13915528,https://a2.muscache.com/im/pictures/b845c97a-546a-4b8f-8b98-f3ae39cb6292.jpg?aki_policy=large,50999731,https://www.airbnb.com/users/show/50999731,Elite Lux Life,https://a2.muscache.com/im/pictures/5b5891b4-8321-4ba2-9ac1-73acb5c8b5ac.jpg?aki_policy=profile_x_medium,39,West Village,Manhattan,40.73501124,-74.01010567,Condominium,3150,,3,363
https://www.airbnb.com/rooms/15284819,https://a2.muscache.com/im/pictures/3010cc21-18fc-4460-b40a-2d6f895f4696.jpg?aki_policy=large,60085031,https://www.airbnb.com/users/show/60085031,Vacation Generation,https://a2.muscache.com/im/pictures/e9e598c2-43dd-4ac6-a94e-47147cfc9783.jpg?aki_policy=profile_x_medium,33,Midtown,Manhattan,40.75359702,-73.97305906,Condominium,295,,3,279
https://www.airbnb.com/rooms/5018249,https://a0.muscache.com/im/pictures/65274802/165fd0f7_original.jpg?aki_policy=large,2677753,https://www.airbnb.com/users/show/2677753,Regina,https://a1.muscache.com/im/users/2677753/profile_pic/1340088537/original.jpg?aki_policy=profile_x_medium,32,Midtown,Manhattan,40.76508308,-73.98164156,Villa,999,,2,331
https://www.airbnb.com/rooms/14219470,https://a2.muscache.com/im/pictures/d1becc8b-73cf-4f0a-9ac3-9174d93fe5a8.jpg?aki_policy=large,77508090,https://www.airbnb.com/users/show/77508090,Hello,https://a2.muscache.com/im/pictures/c3849900-7d6b-4451-9d20-ef17cc0181f1.jpg?aki_policy=profile_x_medium,30,Midtown,Manhattan,40.75231796,-73.9719654,Apartment,225,,3,203
https://www.airbnb.com/rooms/13019720,https://a2.muscache.com/im/pictures/c27f1d86-08d9-4972-8dfc-f60ea6bb39ea.jpg?aki_policy=large,57574248,https://www.airbnb.com/users/show/57574248,Christine,https://a2.muscache.com/im/pictures/1729ee20-b5da-43ab-a1ea-7be09c6da504.jpg?aki_policy=profile_x_medium,30,Midtown,Manhattan,40.75330371,-73.97346448,Villa,375,,3,89
https://www.airbnb.com/rooms/10017458,https://a2.muscache.com/im/pictures/1e7d76d1-2d0b-4e9d-ae3b-777aa35ae92b.jpg?aki_policy=large,50760546,https://www.airbnb.com/users/show/50760546,CRNY Monthly Rentals,https://a2.muscache.com/im/pictures/5db2ca63-504b-421e-aa7a-b98843a16c5b.jpg?aki_policy=profile_x_medium,30,Kips Bay,Manhattan,40.74494624,-73.97627224,Apartment,125,,30,351
https://www.airbnb.com/rooms/9646822,https://a2.muscache.com/im/pictures/319f06c8-5259-4004-822f-f8b7490a81f9.jpg?aki_policy=large,46978859,https://www.airbnb.com/users/show/46978859,Claudette,https://a2.muscache.com/im/pictures/3321497f-8adc-4bc3-a662-2173a3c52ee1.jpg?aki_policy=profile_x_medium,29,Hell's Kitchen,Manhattan,40.76141992,-73.98873931,Apartment,138,3603,30,365
https://www.airbnb.com/rooms/727512,https://a2.muscache.com/im/pictures/24799257/82f7145f_original.jpg?aki_policy=large,417504,https://www.airbnb.com/users/show/417504,Dana,https://a2.muscache.com/im/users/417504/profile_pic/1299335809/original.jpg?aki_policy=profile_x_medium,28,Greenpoint,Brooklyn,40.73866892,-73.95447913,Apartment,199,,3,365
https://www.airbnb.com/rooms/13294817,https://a2.muscache.com/im/pictures/3f7d7e4a-5d12-4ed3-af56-3620ec737dd1.jpg?aki_policy=large,46335228,https://www.airbnb.com/users/show/46335228,Meital,https://a2.muscache.com/im/pictures/904c2228-423a-45c8-84cd-e7b0e3592078.jpg?aki_policy=profile_x_medium,27,Little Italy,Manhattan,40.71875384,-73.99905255,Apartment,260,,30,365
https://www.airbnb.com/rooms/4902497,https://a0.muscache.com/im/pictures/61482391/c0c77c82_original.jpg?aki_policy=large,25237492,https://www.airbnb.com/users/show/25237492,Juliana,https://a0.muscache.com/im/users/25237492/profile_pic/1419639935/original.jpg?aki_policy=profile_x_medium,27,Upper East Side,Manhattan,40.76066889,-73.96019877,Apartment,375,4750,30,270
https://www.airbnb.com/rooms/12629694,https://a2.muscache.com/im/pictures/0072de40-baff-478c-a772-74473e099d03.jpg?aki_policy=large,838828,https://www.airbnb.com/users/show/838828,Moblat,https://a1.muscache.com/im/users/838828/profile_pic/1316843774/original.jpg?aki_policy=profile_x_medium,26,Astoria,Queens,40.76021659,-73.91344089,Apartment,125,,1,333
https://www.airbnb.com/rooms/15204878,https://a2.muscache.com/im/pictures/d45db12a-eb93-4f99-be98-e39cccaf1f63.jpg?aki_policy=large,96098402,https://www.airbnb.com/users/show/96098402,Carrie,https://a2.muscache.com/im/pictures/cd3dacef-7d9f-41a9-82e1-b10b34ce2212.jpg?aki_policy=profile_x_medium,26,Midtown,Manhattan,40.75362288,-73.97158347,Condominium,549,,1,365
https://www.airbnb.com/rooms/13732473,https://a2.muscache.com/im/pictures/ca81ff38-fdac-40ce-8332-f13caf1e1eaa.jpg?aki_policy=large,43326493,https://www.airbnb.com/users/show/43326493,Joana,https://a2.muscache.com/im/pictures/f045ba0b-ee16-4061-ac48-1e193bd7dc94.jpg?aki_policy=profile_x_medium,21,Chelsea,Manhattan,40.75196518,-73.99716864,Apartment,149,,1,346
https://www.airbnb.com/rooms/13032261,https://a2.muscache.com/im/pictures/7d07d30f-ab70-46fc-8d65-467ae3009354.jpg?aki_policy=large,57571805,https://www.airbnb.com/users/show/57571805,Gharet,https://a2.muscache.com/im/pictures/648f2add-e24c-486e-a6fc-32895e3a3657.jpg?aki_policy=profile_x_medium,20,Midtown,Manhattan,40.75315343,-73.97339327,Villa,350,,4,147
https://www.airbnb.com/rooms/3771962,https://a0.muscache.com/im/pictures/110234327/c52ec020_original.jpg?aki_policy=large,2622965,https://www.airbnb.com/users/show/2622965,Sylvia And Stephan,https://a2.muscache.com/im/pictures/3973f2ff-898b-4ca9-9b85-8edd6f8857b9.jpg?aki_policy=profile_x_medium,19,Harlem,Manhattan,40.82177984,-73.94339921,Apartment,175,,1,265
https://www.airbnb.com/rooms/9488860,https://a2.muscache.com/im/pictures/129aa07f-9126-4fa1-980d-1e84ac5b0c5b.jpg?aki_policy=large,21093028,https://www.airbnb.com/users/show/21093028,Chad,https://a0.muscache.com/im/users/21093028/profile_pic/1413942907/original.jpg?aki_policy=profile_x_medium,19,West Village,Manhattan,40.73599402,-74.00944016,Apartment,599,,1,365
https://www.airbnb.com/rooms/6487812,https://a0.muscache.com/im/pictures/81557389/bc4374fc_original.jpg?aki_policy=large,4282318,https://www.airbnb.com/users/show/4282318,Al,https://a0.muscache.com/im/users/4282318/profile_pic/1414255119/original.jpg?aki_policy=profile_x_medium,19,Prospect-Lefferts Gardens,Brooklyn,40.65658262,-73.96142693,Apartment,199,,1,149
https://www.airbnb.com/rooms/305245,https://a0.muscache.com/im/pictures/33289410/273d56ed_original.jpg?aki_policy=large,1556814,https://www.airbnb.com/users/show/1556814,Tammy,https://a2.muscache.com/im/users/1556814/profile_pic/1325510782/original.jpg?aki_policy=profile_x_medium,19,Harlem,Manhattan,40.8060361,-73.94603198,Apartment,350,4300,3,291
https://www.airbnb.com/rooms/14807337,https://a2.muscache.com/im/pictures/958f1b50-0041-411b-9ac2-a6159b20bed9.jpg?aki_policy=large,4069585,https://www.airbnb.com/users/show/4069585,Liz,https://a2.muscache.com/im/pictures/4b8f8f68-ed69-49a7-939c-6f8fdb787ef2.jpg?aki_policy=profile_x_medium,18,Kips Bay,Manhattan,40.74208468,-73.9814834,Apartment,750,,1,358
